metadata,problem,answer
metadata,problem,answer
"{'topic': 'Geography', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Pulwama', 'https://en.wikipedia.org/wiki/Pulwama#:~:text=Pulwama%20(known%20as%20Panwangam%20in,in%20the%20disputed%20Kashmir%20region.', 'https://pulwama.gov.in/history/#:~:text=According%20to%20the%20revenue%20records,%2C%20Dangerapora%2C%20Chatpora%20and%20Dalipora.', 'https://www.nativeplanet.com/pulwama/']}",Which district in Kashmir was originally known as Panwangam?,Pulwama
"{'topic': 'Geography', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Askham_Richard', 'https://her-staging.york.gov.uk/api/LibraryLinkWebServiceProxy/FetchResource/135950/full_135950.pdf', 'https://en.wikipedia.org/wiki/Askham_Richard', 'http://askhamrichard-pc.org.uk/local-info.php?id=6']}","In which year did Askham Richard, the village in the North of England, first become a conservation area?",1975
"{'topic': 'Geography', 'answer_type': 'Place', 'urls': ['https://worldpopulationreview.com/countries/malawi/location', 'https://worldpopulationreview.com/countries/malawi/location', 'https://latitude.to/map/mw/malawi']}",What are the GPS coordinates of Malawi?,"13° 15' 4.38"" S, 34° 18' 5.50"" E."
"{'topic': 'Geography', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Gusevsky_District', 'https://en.wikipedia.org/wiki/Gusevsky_District#:~:text=As%20a%20municipal%20division%2C%20the,settlement%20and%20four%20rural%20settlements.', 'https://soft.lk/key/Gusev,_Kaliningrad_Oblast', 'https://en.wikipedia.org/wiki/Gusevskoye_Urban_Settlement']}","Before 2013, what was the municipal division of Gusevsky District in Kaliningrad Oblast incorporated as?",Gusevsky Municipal District
"{'topic': 'Geography', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Sons%C3%B3n', 'https://en.wikipedia.org/wiki/Sons%C3%B3n', 'https://www.sonson-antioquia.gov.co/MiMunicipio/Paginas/Pasado-Presente-y-Futuro.aspx', 'https://www.puebliandoporantioquia.com.co/subregion-oriente/municipio-sonson/']}","In which year was the municipality of Sonsón, Antioquia, Colombia, founded?",1800
"{'topic': 'Geography', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Abdullah_Bridge', 'https://en.wikipedia.org/wiki/Abdullah_Bridge', 'https://alchetron.com/Abdullah-Bridge']}",What is the length in meters of Abdullah Bridge in Srinagar?,390 metres
"{'topic': 'Geography', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/San_Francisco,_Antioquia', 'https://en.wikipedia.org/wiki/San_Francisco,_Antioquia', 'https://www.wikiwand.com/en/San_Francisco%2C_Antioquia', 'https://www.familysearch.org/es/wiki/San_Francisco,_Oriente,_Antioquia,_Colombia_-_Genealog%C3%ADa']}","What year was the municipality of San Francisco, Antioquia, Colombia, founded?",1830
"{'topic': 'Geography', 'answer_type': 'Number', 'urls': ['https://fsi.nic.in/isfr2019/isfr-fsi-vol2.pdf', 'https://fsi.nic.in/isfr19/vol2/isfr-2019-vol-ii-tamilnadu.pdf', 'https://static.pib.gov.in/WriteReadData/userfiles/ISFR2019%20Vol-II.pdf', 'https://www.newindianexpress.com/cities/chennai/2021/Jul/26/tamil-nadu-greening-project-aims-for-33-forest-tree-cover-2335379.html#:~:text=As%20per%20India%20State%20of,State%20is%2026%2C364.02%20sq%20km.']}","What is the forest cover area of Tamil Nadu in square kilometers, according to the India State of Forest Report 2019?","26,364.02"
"{'topic': 'Geography', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Bure_Nangal', 'https://en.wikipedia.org/wiki/Bure_Nangal#:~:text=As%20of%202011%2C%20The%20village,by%20Census%20India%20in%202011.', 'https://villageinfo.in/punjab/gurdaspur/batala/bure-nangal.html', 'https://www.census2011.co.in/data/village/28649-bure-nangal-punjab.html']}",How many houses did the village of Bure Nangal in Batala have according to the 2011 Census of India?,211
"{'topic': 'Geography', 'answer_type': 'Date', 'urls': ['https://es.wikipedia.org/wiki/Belmira', 'https://www.belmira-antioquia.gov.co/municipio/nuestro-municipio', 'https://es.wikipedia.org/wiki/Belmira', 'https://www.coobelmira.com/portal/municipio-belmira/']}","What year was the municipality of Belmira, Antioquia, Colombia, founded?",1757
"{'topic': 'Geography', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/List_of_Regional_Transport_Office_districts_in_India#SK%E2%80%94Sikkim', 'https://en.wikipedia.org/wiki/List_of_Regional_Transport_Office_districts_in_India#SK%E2%80%94Sikkim', 'https://www.cars24.com/rto-vehicle-registration-details-sikkim-sk-06/', 'https://www.acko.com/rto/sikkim/']}","What is the name of the district with the Regional Transport Office (RTO) code SK-06 in Sikkim, India?",Soreng
"{'topic': 'Geography', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Harees', 'https://en.wikipedia.org/wiki/Harees#', 'https://donimranfamilykitchen.wordpress.com/2020/11/08/bokoboko-recipe-arabic-style-haleem-known-as-harees-or-hareesa-famous-in-zanzibar-and-mombasa/']}","What is Harees, a famous dish of Armenia and the Arabian Peninsula, called in Zanzibar?", boko boko
