metadata,problem,answer
metadata,problem,answer
"{'topic': 'Sports', 'answer_type': 'Number', 'urls': ['https://www.uefa.com/uefachampionsleague/match/2000488--bayern-vs-inter/', 'https://en.wikipedia.org/wiki/2010_UEFA_Champions_League_final', 'https://www.uefa.com/uefachampionsleague/match/2000488--bayern-vs-inter/', 'https://uk.soccerway.com/matches/2010/05/22/europe/uefa-champions-league/fc-bayern-munchen/fc-internazionale-milano/932705/']}","How many fouls did Inter commit in the Champions League final match between Bayern and Inter on May 23, 2010?",13
"{'topic': 'Sports', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/2022_Rugby_Europe_Championship#Week_3', 'https://all.rugby/match/16767/rugby-europe-championship-2022/spain-romania', 'https://en.wikipedia.org/wiki/2022_Rugby_Europe_Championship']}","What player scored all the conversions for Spain in the rugby match between Spain and Romania that was part of the 2022 Rugby Europe Championship on February 27, 2022?",Manuel Ordas
"{'topic': 'Sports', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Andrew_Tate', ""https://en.wikipedia.org/wiki/Andrew_Tate#:~:text=Tate's%20kickboxing%20nickname%20was%20%22King%20Cobra%22."", 'https://www.sportskeeda.com/mma/news-what-andrew-tate-s-kickboxing-record-take-look-internet-superstar-s-combat-sports-history', 'https://www.sherdog.com/fighter/Andrew-Tate-62149']}",What is the British-American kickboxer Andrew Tate's kickboxing name?,King cobra
"{'topic': 'Sports', 'answer_type': 'Number', 'urls': ['https://m.cricbuzz.com/live-cricket-scorecard/14653/mi-vs-csk-final-indian-premier-league-2015', 'https://en.wikipedia.org/wiki/2015_Indian_Premier_League_final', 'https://www.espncricinfo.com/series/pepsi-indian-premier-league-2015-791129/chennai-super-kings-vs-mumbai-indians-final-829823/full-scorecard', 'https://www.cricbuzz.com/live-cricket-scorecard/14653/mi-vs-csk-final-indian-premier-league-2015']}",What was the strike rate of Harbhajan Singh in the final match of IPL 2015?,200.00
"{'topic': 'Sports', 'answer_type': 'Person', 'urls': ['https://olympics.com/en/olympic-games/beijing-2022/results/figure-skating/ice-dance', 'https://en.wikipedia.org/wiki/Figure_skating_at_the_2022_Winter_Olympics_%E2%80%93_Ice_dance#Overall', 'https://olympics.com/en/olympic-games/beijing-2022/results/figure-skating/ice-dance']}",What are the first names and surnames of the figure skaters who came 21st in the ice dance category at the 2022 Winter Olympics in Beijing?,Katharina Müller and Tim Dieck
"{'topic': 'Sports', 'answer_type': 'Person', 'urls': ['https://www.livefutbol.com/goleadores/copa-libertadores-1967/\nhttps://en.wikipedia.org/wiki/Norberto_Raffo', 'https://en.wikipedia.org/wiki/List_of_Copa_Libertadores_top_scorers']}",Who was Racing's top scorer in the Copa Libertadores 1967?,Norberto Raffo
"{'topic': 'Sports', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Frank_Jacobsson', 'https://en.wikipedia.org/wiki/Frank_Jacobsson', 'https://www.national-football-teams.com/player/41778/Frank_Sanny_Jacobsson.html']}","Who was the Swedish footballer who spent his entire career as a winger for the club GAIS in the Swedish Allsvenskan from 1949 to 1960 and passed away on February 26, 2017?",Frank Jacobsson
"{'topic': 'Sports', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League#League_table', 'https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League#:~:text=Manchester%20City%20successfully%20defended%20their,in%20the%20last%20five%20seasons. ', 'https://www.eurosport.com/football/premier-league/2021-2022/standings.shtml']}",What team finished with 38 points at the end of the 2021-2022 Premier League season?,Leeds United
"{'topic': 'Sports', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League#Awards', 'https://en.wikipedia.org/wiki/Rafael_Ben%C3%ADtez#:~:text=After%20a%202%E2%80%931%20defeat,of%20their%20previous%20thirteen%20games.', 'https://www.espn.com/soccer/story/_/id/37624476/rafa-benitez-everton-six-months-charge']}",What position was Everton in when Rafael Benítez was sacked in the 2021-22 Premier League season?,15th place
"{'topic': 'Sports', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Ken_Skupski', 'https://en.wikipedia.org/wiki/Ken_Skupski#:~:text=At%20the%202010%20Commonwealth%20Games,mixed%20doubles%20partnering%20Sarah%20Borwell.', 'https://lsusports.net/news/2010/10/14/205012361/', 'https://www.wikiwand.com/en/Ken_Skupski#google_vignette']}",How many medals did Ken Skupski win representing England at the 2010 Commonwealth Games in Delhi?,two medals.
"{'topic': 'Sports', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Starr_Andrews', 'https://www.usfigureskating.org/news/press-release/starr-andrews-added-2021-guaranteed-rate-skate-america#:~:text=Starr%20Andrews%20will%20represent%20Team%20USA%20at%202021%20Guaranteed%20Rate%20Skate%20America%2C%20U.S.%20Figure%20Skating%20announced%20Monday.%20Andrews%20will%20replace%20Bradie%20Tennell%2C%20who%20has%20withdrawn%20from%20the%20competition%20due%20to%20injury.']}",Who replaced Bradie Tennell in the 2021 Skate America?,Starr Andrews
